,inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,city_type,team1_cat,team2_cat
0,1,1,7,0,0,7,-1.0,-1.0,7.0,-1.0,8.0,0,13,12
1,1,2,16,1,1,23,-1.0,-1.0,11.5,-1.0,12.5,0,13,12
2,1,3,6,0,1,29,-1.0,-1.0,9.666666666666666,-1.0,10.666666666666666,0,13,12
3,1,4,4,0,1,33,-1.0,-1.0,8.25,-1.0,9.25,0,13,12
4,1,5,9,0,1,42,-1.0,-1.0,8.4,-1.0,9.4,0,13,12
5,1,6,17,0,1,59,-1.0,-1.0,9.833333333333334,-1.0,10.833333333333334,0,13,12
6,1,7,5,0,1,64,-1.0,-1.0,9.142857142857142,-1.0,10.142857142857142,0,13,12
7,1,8,11,0,1,75,-1.0,-1.0,9.375,-1.0,10.375,0,13,12
8,1,9,9,0,1,84,-1.0,-1.0,9.333333333333334,-1.0,10.333333333333334,0,13,12
9,1,10,4,0,1,88,-1.0,-1.0,8.8,-1.0,9.8,0,13,12
10,1,11,10,1,2,98,-1.0,-1.0,8.909090909090908,-1.0,9.909090909090908,0,13,12
11,1,12,8,0,2,106,-1.0,-1.0,8.833333333333334,-1.0,9.833333333333334,0,13,12
12,1,13,18,0,2,124,-1.0,-1.0,9.538461538461538,-1.0,10.538461538461538,0,13,12
13,1,14,8,0,2,132,-1.0,-1.0,9.428571428571429,-1.0,10.428571428571429,0,13,12
14,1,15,19,0,2,151,-1.0,-1.0,10.066666666666666,-1.0,11.066666666666666,0,13,12
15,1,16,4,1,3,155,-1.0,-1.0,9.6875,-1.0,10.6875,0,13,12
16,1,17,7,0,3,162,-1.0,-1.0,9.529411764705882,-1.0,10.529411764705882,0,13,12
17,1,18,17,0,3,179,-1.0,-1.0,9.944444444444445,-1.0,10.944444444444445,0,13,12
18,1,19,12,1,4,191,-1.0,-1.0,10.052631578947368,-1.0,11.052631578947368,0,13,12
19,1,20,16,0,4,207,-1.0,-1.0,10.35,-1.0,11.35,0,13,12
20,2,1,11,0,0,11,207.0,196.0,11.0,10.31578947368421,0.6842105263157894,0,13,12
21,2,2,1,0,0,12,207.0,195.0,6.0,10.833333333333334,-4.833333333333334,0,13,12
22,2,3,16,0,0,28,207.0,179.0,9.333333333333334,10.529411764705882,-1.1960784313725483,0,13,12
23,2,4,15,0,0,43,207.0,164.0,10.75,10.25,0.5,0,13,12
24,2,5,5,0,0,48,207.0,159.0,9.6,10.6,-1.0,0,13,12
25,2,6,6,1,1,54,207.0,153.0,9.0,10.928571428571429,-1.9285714285714288,0,13,12
26,2,7,7,1,2,61,207.0,146.0,8.714285714285714,11.23076923076923,-2.5164835164835164,0,13,12
27,2,8,13,0,2,74,207.0,133.0,9.25,11.083333333333334,-1.833333333333334,0,13,12
28,2,9,11,0,2,85,207.0,122.0,9.444444444444445,11.090909090909092,-1.646464646464647,0,13,12
29,2,10,13,0,2,98,207.0,109.0,9.8,10.9,-1.0999999999999996,0,13,12
30,2,11,13,0,2,111,207.0,96.0,10.090909090909092,10.666666666666666,-0.5757575757575744,0,13,12
31,2,12,7,1,3,118,207.0,89.0,9.833333333333334,11.125,-1.291666666666666,0,13,12
32,2,13,8,1,4,126,207.0,81.0,9.692307692307692,11.571428571428571,-1.8791208791208796,0,13,12
33,2,14,4,1,5,130,207.0,77.0,9.285714285714286,12.833333333333334,-3.5476190476190474,0,13,12
34,2,15,9,0,5,139,207.0,68.0,9.266666666666667,13.6,-4.333333333333332,0,13,12
35,2,16,12,0,5,151,207.0,56.0,9.4375,14.0,-4.5625,0,13,12
36,2,17,3,1,6,154,207.0,53.0,9.058823529411764,17.666666666666668,-8.607843137254903,0,13,12
37,2,18,2,2,8,156,207.0,51.0,8.666666666666666,25.5,-16.833333333333336,0,13,12
38,2,19,9,1,9,165,207.0,42.0,8.68421052631579,42.0,-33.31578947368421,0,13,12
39,2,20,7,1,10,172,207.0,35.0,8.6,100.0,-91.4,0,13,12
40,1,1,11,0,0,11,-1.0,-1.0,11.0,-1.0,12.0,1,7,10
41,1,2,8,0,0,19,-1.0,-1.0,9.5,-1.0,10.5,1,7,10
42,1,3,9,0,0,28,-1.0,-1.0,9.333333333333334,-1.0,10.333333333333334,1,7,10
43,1,4,13,0,0,41,-1.0,-1.0,10.25,-1.0,11.25,1,7,10
44,1,5,7,1,1,48,-1.0,-1.0,9.6,-1.0,10.6,1,7,10
45,1,6,13,0,1,61,-1.0,-1.0,10.166666666666666,-1.0,11.166666666666666,1,7,10
46,1,7,2,2,3,63,-1.0,-1.0,9.0,-1.0,10.0,1,7,10
47,1,8,3,0,3,66,-1.0,-1.0,8.25,-1.0,9.25,1,7,10
48,1,9,10,0,3,76,-1.0,-1.0,8.444444444444445,-1.0,9.444444444444445,1,7,10
49,1,10,6,0,3,82,-1.0,-1.0,8.2,-1.0,9.2,1,7,10
50,1,11,10,0,3,92,-1.0,-1.0,8.363636363636363,-1.0,9.363636363636363,1,7,10
51,1,12,3,1,4,95,-1.0,-1.0,7.916666666666667,-1.0,8.916666666666668,1,7,10
52,1,13,11,0,4,106,-1.0,-1.0,8.153846153846153,-1.0,9.153846153846153,1,7,10
53,1,14,5,1,5,111,-1.0,-1.0,7.928571428571429,-1.0,8.928571428571429,1,7,10
54,1,15,9,0,5,120,-1.0,-1.0,8.0,-1.0,9.0,1,7,10
55,1,16,7,1,6,127,-1.0,-1.0,7.9375,-1.0,8.9375,1,7,10
56,1,17,10,0,6,137,-1.0,-1.0,8.058823529411764,-1.0,9.058823529411764,1,7,10
57,1,18,8,0,6,145,-1.0,-1.0,8.055555555555555,-1.0,9.055555555555555,1,7,10
58,1,19,9,1,7,154,-1.0,-1.0,8.105263157894736,-1.0,9.105263157894736,1,7,10
59,1,20,30,1,8,184,-1.0,-1.0,9.2,-1.0,10.2,1,7,10
60,2,1,8,0,0,8,184.0,176.0,8.0,9.263157894736842,-1.2631578947368425,1,7,10
61,2,2,15,0,0,23,184.0,161.0,11.5,8.944444444444445,2.5555555555555554,1,7,10
62,2,3,12,0,0,35,184.0,149.0,11.666666666666666,8.764705882352942,2.901960784313724,1,7,10
63,2,4,4,1,1,39,184.0,145.0,9.75,9.0625,0.6875,1,7,10
64,2,5,4,0,1,43,184.0,141.0,8.6,9.4,-0.8000000000000007,1,7,10
65,2,6,16,0,1,59,184.0,125.0,9.833333333333334,8.928571428571429,0.9047619047619051,1,7,10
66,2,7,4,0,1,63,184.0,121.0,9.0,9.307692307692308,-0.3076923076923084,1,7,10
67,2,8,10,0,1,73,184.0,111.0,9.125,9.25,-0.125,1,7,10
68,2,9,9,0,1,82,184.0,102.0,9.11111111111111,9.272727272727273,-0.16161616161616266,1,7,10
69,2,10,11,0,1,93,184.0,91.0,9.3,9.1,0.20000000000000107,1,7,10
70,2,11,4,1,2,97,184.0,87.0,8.818181818181818,9.666666666666666,-0.8484848484848477,1,7,10
71,2,12,8,0,2,105,184.0,79.0,8.75,9.875,-1.125,1,7,10
72,2,13,9,0,2,114,184.0,70.0,8.76923076923077,10.0,-1.23076923076923,1,7,10
73,2,14,15,0,2,129,184.0,55.0,9.214285714285714,9.166666666666666,0.04761904761904745,1,7,10
74,2,15,10,0,2,139,184.0,45.0,9.266666666666667,9.0,0.2666666666666675,1,7,10
75,2,16,9,1,3,148,184.0,36.0,9.25,9.0,0.25,1,7,10
76,2,17,10,0,3,158,184.0,26.0,9.294117647058824,8.666666666666666,0.6274509803921582,1,7,10
77,2,18,7,0,3,165,184.0,19.0,9.166666666666666,9.5,-0.3333333333333339,1,7,10
78,2,19,7,0,3,172,184.0,12.0,9.052631578947368,12.0,-2.947368421052632,1,7,10
79,2,20,15,0,3,187,184.0,-3.0,9.35,100.0,-90.65,1,7,10
80,1,1,8,0,0,8,-1.0,-1.0,8.0,-1.0,9.0,0,3,6
81,1,2,8,0,0,16,-1.0,-1.0,8.0,-1.0,9.0,0,3,6
82,1,3,6,0,0,22,-1.0,-1.0,7.333333333333333,-1.0,8.333333333333332,0,3,6
83,1,4,7,1,1,29,-1.0,-1.0,7.25,-1.0,8.25,0,3,6
84,1,5,11,0,1,40,-1.0,-1.0,8.0,-1.0,9.0,0,3,6
85,1,6,12,0,1,52,-1.0,-1.0,8.666666666666666,-1.0,9.666666666666666,0,3,6
86,1,7,12,0,1,64,-1.0,-1.0,9.142857142857142,-1.0,10.142857142857142,0,3,6
87,1,8,8,0,1,72,-1.0,-1.0,9.0,-1.0,10.0,0,3,6
88,1,9,4,1,2,76,-1.0,-1.0,8.444444444444445,-1.0,9.444444444444445,0,3,6
89,1,10,15,0,2,91,-1.0,-1.0,9.1,-1.0,10.1,0,3,6
90,1,11,4,1,3,95,-1.0,-1.0,8.636363636363637,-1.0,9.636363636363637,0,3,6
91,1,12,7,0,3,102,-1.0,-1.0,8.5,-1.0,9.5,0,3,6
92,1,13,7,0,3,109,-1.0,-1.0,8.384615384615385,-1.0,9.384615384615385,0,3,6
93,1,14,7,0,3,116,-1.0,-1.0,8.285714285714286,-1.0,9.285714285714286,0,3,6
94,1,15,9,0,3,125,-1.0,-1.0,8.333333333333334,-1.0,9.333333333333334,0,3,6
95,1,16,5,0,3,130,-1.0,-1.0,8.125,-1.0,9.125,0,3,6
96,1,17,11,0,3,141,-1.0,-1.0,8.294117647058824,-1.0,9.294117647058824,0,3,6
97,1,18,12,0,3,153,-1.0,-1.0,8.5,-1.0,9.5,0,3,6
98,1,19,16,0,3,169,-1.0,-1.0,8.894736842105264,-1.0,9.894736842105264,0,3,6
99,1,20,14,1,4,183,-1.0,-1.0,9.15,-1.0,10.15,0,3,6
100,2,1,7,0,0,7,183.0,176.0,7.0,9.263157894736842,-2.2631578947368425,0,3,6
101,2,2,13,0,0,20,183.0,163.0,10.0,9.055555555555555,0.9444444444444446,0,3,6
102,2,3,17,0,0,37,183.0,146.0,12.333333333333334,8.588235294117647,3.745098039215687,0,3,6
103,2,4,9,0,0,46,183.0,137.0,11.5,8.5625,2.9375,0,3,6
104,2,5,7,0,0,53,183.0,130.0,10.6,8.666666666666666,1.9333333333333336,0,3,6
105,2,6,20,0,0,73,183.0,110.0,12.166666666666666,7.857142857142857,4.309523809523809,0,3,6
106,2,7,23,0,0,96,183.0,87.0,13.714285714285714,6.6923076923076925,7.021978021978021,0,3,6
107,2,8,7,0,0,103,183.0,80.0,12.875,6.666666666666667,6.208333333333333,0,3,6
108,2,9,6,0,0,109,183.0,74.0,12.11111111111111,6.7272727272727275,5.383838383838383,0,3,6
109,2,10,7,0,0,116,183.0,67.0,11.6,6.7,4.8999999999999995,0,3,6
110,2,11,15,0,0,131,183.0,52.0,11.909090909090908,5.777777777777778,6.131313131313131,0,3,6
111,2,12,16,0,0,147,183.0,36.0,12.25,4.5,7.75,0,3,6
112,2,13,6,0,0,153,183.0,30.0,11.76923076923077,4.285714285714286,7.4835164835164845,0,3,6
113,2,14,9,0,0,162,183.0,21.0,11.571428571428571,3.5,8.071428571428571,0,3,6
114,2,15,22,0,0,184,183.0,-1.0,12.266666666666667,-1.0,13.266666666666667,0,3,6
115,1,1,1,1,1,1,-1.0,-1.0,1.0,-1.0,2.0,3,10,4
116,1,2,2,0,1,3,-1.0,-1.0,1.5,-1.0,2.5,3,10,4
117,1,3,4,0,1,7,-1.0,-1.0,2.3333333333333335,-1.0,3.3333333333333335,3,10,4
118,1,4,13,0,1,20,-1.0,-1.0,5.0,-1.0,6.0,3,10,4
119,1,5,12,0,1,32,-1.0,-1.0,6.4,-1.0,7.4,3,10,4
120,1,6,3,0,1,35,-1.0,-1.0,5.833333333333333,-1.0,6.833333333333333,3,10,4
121,1,7,7,1,2,42,-1.0,-1.0,6.0,-1.0,7.0,3,10,4
122,1,8,6,0,2,48,-1.0,-1.0,6.0,-1.0,7.0,3,10,4
123,1,9,5,1,3,53,-1.0,-1.0,5.888888888888889,-1.0,6.888888888888889,3,10,4
124,1,10,10,0,3,63,-1.0,-1.0,6.3,-1.0,7.3,3,10,4
125,1,11,8,0,3,71,-1.0,-1.0,6.454545454545454,-1.0,7.454545454545454,3,10,4
126,1,12,4,1,4,75,-1.0,-1.0,6.25,-1.0,7.25,3,10,4
127,1,13,9,0,4,84,-1.0,-1.0,6.461538461538462,-1.0,7.461538461538462,3,10,4
128,1,14,14,0,4,98,-1.0,-1.0,7.0,-1.0,8.0,3,10,4
129,1,15,10,0,4,108,-1.0,-1.0,7.2,-1.0,8.2,3,10,4
130,1,16,15,0,4,123,-1.0,-1.0,7.6875,-1.0,8.6875,3,10,4
131,1,17,5,0,4,128,-1.0,-1.0,7.529411764705882,-1.0,8.529411764705882,3,10,4
132,1,18,5,1,5,133,-1.0,-1.0,7.388888888888889,-1.0,8.38888888888889,3,10,4
133,1,19,14,0,5,147,-1.0,-1.0,7.7368421052631575,-1.0,8.736842105263158,3,10,4
134,1,20,16,1,6,163,-1.0,-1.0,8.15,-1.0,9.15,3,10,4
135,2,1,6,0,0,6,163.0,157.0,6.0,8.263157894736842,-2.2631578947368425,3,10,4
136,2,2,13,0,0,19,163.0,144.0,9.5,8.0,1.5,3,10,4
137,2,3,8,1,1,27,163.0,136.0,9.0,8.0,1.0,3,10,4
138,2,4,11,0,1,38,163.0,125.0,9.5,7.8125,1.6875,3,10,4
139,2,5,10,0,1,48,163.0,115.0,9.6,7.666666666666667,1.9333333333333327,3,10,4
140,2,6,8,1,2,56,163.0,107.0,9.333333333333334,7.642857142857143,1.6904761904761907,3,10,4
141,2,7,3,0,2,59,163.0,104.0,8.428571428571429,8.0,0.4285714285714288,3,10,4
142,2,8,3,0,2,62,163.0,101.0,7.75,8.416666666666666,-0.6666666666666661,3,10,4
143,2,9,4,0,2,66,163.0,97.0,7.333333333333333,8.818181818181818,-1.4848484848484853,3,10,4
144,2,10,7,0,2,73,163.0,90.0,7.3,9.0,-1.7000000000000002,3,10,4
145,2,11,12,1,3,85,163.0,78.0,7.7272727272727275,8.666666666666666,-0.9393939393939386,3,10,4
146,2,12,3,1,4,88,163.0,75.0,7.333333333333333,9.375,-2.041666666666667,3,10,4
147,2,13,15,0,4,103,163.0,60.0,7.923076923076923,8.571428571428571,-0.6483516483516478,3,10,4
148,2,14,13,0,4,116,163.0,47.0,8.285714285714286,7.833333333333333,0.45238095238095344,3,10,4
149,2,15,12,0,4,128,163.0,35.0,8.533333333333333,7.0,1.5333333333333332,3,10,4
150,2,16,15,0,4,143,163.0,20.0,8.9375,5.0,3.9375,3,10,4
151,2,17,2,0,4,145,163.0,18.0,8.529411764705882,6.0,2.5294117647058822,3,10,4
152,2,18,12,0,4,157,163.0,6.0,8.722222222222221,3.0,5.722222222222221,3,10,4
153,2,19,7,0,4,164,163.0,-1.0,8.631578947368421,-1.0,9.631578947368421,3,10,4
154,1,1,10,0,0,10,-1.0,-1.0,10.0,-1.0,11.0,0,12,2
155,1,2,9,0,0,19,-1.0,-1.0,9.5,-1.0,10.5,0,12,2
156,1,3,7,0,0,26,-1.0,-1.0,8.666666666666666,-1.0,9.666666666666666,0,12,2
157,1,4,4,1,1,30,-1.0,-1.0,7.5,-1.0,8.5,0,12,2
158,1,5,2,0,1,32,-1.0,-1.0,6.4,-1.0,7.4,0,12,2
159,1,6,9,1,2,41,-1.0,-1.0,6.833333333333333,-1.0,7.833333333333333,0,12,2
160,1,7,4,0,2,45,-1.0,-1.0,6.428571428571429,-1.0,7.428571428571429,0,12,2
161,1,8,8,0,2,53,-1.0,-1.0,6.625,-1.0,7.625,0,12,2
162,1,9,2,1,3,55,-1.0,-1.0,6.111111111111111,-1.0,7.111111111111111,0,12,2
163,1,10,6,0,3,61,-1.0,-1.0,6.1,-1.0,7.1,0,12,2
164,1,11,5,0,3,66,-1.0,-1.0,6.0,-1.0,7.0,0,12,2
165,1,12,8,0,3,74,-1.0,-1.0,6.166666666666667,-1.0,7.166666666666667,0,12,2
166,1,13,24,0,3,98,-1.0,-1.0,7.538461538461538,-1.0,8.538461538461538,0,12,2
167,1,14,16,0,3,114,-1.0,-1.0,8.142857142857142,-1.0,9.142857142857142,0,12,2
168,1,15,7,1,4,121,-1.0,-1.0,8.066666666666666,-1.0,9.066666666666666,0,12,2
169,1,16,13,0,4,134,-1.0,-1.0,8.375,-1.0,9.375,0,12,2
170,1,17,8,2,6,142,-1.0,-1.0,8.352941176470589,-1.0,9.352941176470589,0,12,2
171,1,18,2,0,6,144,-1.0,-1.0,8.0,-1.0,9.0,0,12,2
172,1,19,6,0,6,150,-1.0,-1.0,7.894736842105263,-1.0,8.894736842105264,0,12,2
173,1,20,7,2,8,157,-1.0,-1.0,7.85,-1.0,8.85,0,12,2
174,2,1,9,0,0,9,157.0,148.0,9.0,7.7894736842105265,1.2105263157894735,0,12,2
175,2,2,4,0,0,13,157.0,144.0,6.5,8.0,-1.5,0,12,2
176,2,3,8,0,0,21,157.0,136.0,7.0,8.0,-1.0,0,12,2
177,2,4,11,0,0,32,157.0,125.0,8.0,7.8125,0.1875,0,12,2
178,2,5,5,1,1,37,157.0,120.0,7.4,8.0,-0.5999999999999996,0,12,2
179,2,6,6,1,2,43,157.0,114.0,7.166666666666667,8.142857142857142,-0.9761904761904754,0,12,2
180,2,7,10,0,2,53,157.0,104.0,7.571428571428571,8.0,-0.4285714285714288,0,12,2
181,2,8,12,1,3,65,157.0,92.0,8.125,7.666666666666667,0.45833333333333304,0,12,2
182,2,9,5,0,3,70,157.0,87.0,7.777777777777778,7.909090909090909,-0.1313131313131315,0,12,2
183,2,10,9,0,3,79,157.0,78.0,7.9,7.8,0.10000000000000053,0,12,2
184,2,11,6,1,4,85,157.0,72.0,7.7272727272727275,8.0,-0.2727272727272725,0,12,2
185,2,12,9,0,4,94,157.0,63.0,7.833333333333333,7.875,-0.04166666666666696,0,12,2
186,2,13,13,1,5,107,157.0,50.0,8.23076923076923,7.142857142857143,1.0879120879120867,0,12,2
187,2,14,5,0,5,112,157.0,45.0,8.0,7.5,0.5,0,12,2
188,2,15,1,1,6,113,157.0,44.0,7.533333333333333,8.8,-1.2666666666666675,0,12,2
189,2,16,8,0,6,121,157.0,36.0,7.5625,9.0,-1.4375,0,12,2
190,2,17,5,1,7,126,157.0,31.0,7.411764705882353,10.333333333333334,-2.9215686274509807,0,12,2
191,2,18,11,0,7,137,157.0,20.0,7.611111111111111,10.0,-2.3888888888888893,0,12,2
192,2,19,2,0,7,139,157.0,18.0,7.315789473684211,18.0,-10.68421052631579,0,12,2
193,2,20,3,2,9,142,157.0,15.0,7.1,100.0,-92.9,0,12,2
194,1,1,3,0,0,3,-1.0,-1.0,3.0,-1.0,4.0,1,3,13
195,1,2,10,0,0,13,-1.0,-1.0,6.5,-1.0,7.5,1,3,13
196,1,3,12,0,0,25,-1.0,-1.0,8.333333333333334,-1.0,9.333333333333334,1,3,13
197,1,4,7,0,0,32,-1.0,-1.0,8.0,-1.0,9.0,1,3,13
198,1,5,3,1,1,35,-1.0,-1.0,7.0,-1.0,8.0,1,3,13
199,1,6,5,1,2,40,-1.0,-1.0,6.666666666666667,-1.0,7.666666666666667,1,3,13
200,1,7,6,1,3,46,-1.0,-1.0,6.571428571428571,-1.0,7.571428571428571,1,3,13
201,1,8,8,0,3,54,-1.0,-1.0,6.75,-1.0,7.75,1,3,13
202,1,9,3,1,4,57,-1.0,-1.0,6.333333333333333,-1.0,7.333333333333333,1,3,13
203,1,10,3,0,4,60,-1.0,-1.0,6.0,-1.0,7.0,1,3,13
204,1,11,8,0,4,68,-1.0,-1.0,6.181818181818182,-1.0,7.181818181818182,1,3,13
205,1,12,7,0,4,75,-1.0,-1.0,6.25,-1.0,7.25,1,3,13
206,1,13,12,0,4,87,-1.0,-1.0,6.6923076923076925,-1.0,7.6923076923076925,1,3,13
207,1,14,9,0,4,96,-1.0,-1.0,6.857142857142857,-1.0,7.857142857142857,1,3,13
208,1,15,6,0,4,102,-1.0,-1.0,6.8,-1.0,7.8,1,3,13
209,1,16,8,0,4,110,-1.0,-1.0,6.875,-1.0,7.875,1,3,13
210,1,17,3,1,5,113,-1.0,-1.0,6.647058823529412,-1.0,7.647058823529412,1,3,13
211,1,18,4,2,7,117,-1.0,-1.0,6.5,-1.0,7.5,1,3,13
212,1,19,13,0,7,130,-1.0,-1.0,6.842105263157895,-1.0,7.842105263157895,1,3,13
213,1,20,5,0,7,135,-1.0,-1.0,6.75,-1.0,7.75,1,3,13
214,2,1,3,0,0,3,135.0,132.0,3.0,6.947368421052632,-3.947368421052632,1,3,13
215,2,2,8,0,0,11,135.0,124.0,5.5,6.888888888888889,-1.3888888888888893,1,3,13
216,2,3,21,0,0,32,135.0,103.0,10.666666666666666,6.0588235294117645,4.607843137254902,1,3,13
217,2,4,8,1,1,40,135.0,95.0,10.0,5.9375,4.0625,1,3,13
218,2,5,8,0,1,48,135.0,87.0,9.6,5.8,3.8,1,3,13
219,2,6,11,0,1,59,135.0,76.0,9.833333333333334,5.428571428571429,4.404761904761905,1,3,13
220,2,7,8,0,1,67,135.0,68.0,9.571428571428571,5.230769230769231,4.34065934065934,1,3,13
221,2,8,5,0,1,72,135.0,63.0,9.0,5.25,3.75,1,3,13
222,2,9,4,0,1,76,135.0,59.0,8.444444444444445,5.363636363636363,3.0808080808080813,1,3,13
223,2,10,13,0,1,89,135.0,46.0,8.9,4.6,4.300000000000001,1,3,13
